Title,HoursPlayed,Release,Aquired,Beta,Type,Finished,Replayed,Progress,AchUnlocked,AchTotal,Mode,Platform,App,Payment,Digital,Discount,PreOrder
Space Engineers,0,2013,30-11-2015,Beta,Survival,0,0,0,0,0,Both,PC,Steam,Purchased,1,1,0
The Stanley Parable,2,2013,21-06-2014,Release,Exploration,1,1,30,3,10,Singleplayer,PC,Steam,Purchased,1,0,0
Team Fortress 2,108,2007,07-09-2011,Release,FPS,0,0,14,72,518,Multiplayer,PC,Steam,Free to Play,1,0,0
Terraria,100,2011,10-07-2011,Release,Platform Survival,1,0,50,44,88,Both,PC,Steam,Purchased,1,1,0
Trine,15,2009,22-12-2013,Release,Platform Adventure,1,0,46,15,33,Both,PC,Steam,Purchased,1,1,0
Trine 2,0,2013,22-12-2013,Release,Platform Adventure,0,0,0,0,97,Both,PC,Steam,Purchased,1,1,0
Undertale,1,2015,18-02-2016,Release,RPG,0,0,5,0,0,Singleplayer,PC,Steam,Purchased,1,0,0
The Witness,1,2016,25-03-2016,Release,Puzzle,0,0,5,0,0,Singleplayer,PC,Cracked,Pirated,1,0,0
Warhammer 40.000: Dawn of War II,6,2009,30-03-2015,Release,Strategy,0,0,16,12,73,Both,PC,Steam,Purchased,1,1,0
The Witcher 2,1,2011,22-12-2013,Release,Action RPG,0,0,0,0,52,Singleplayer,PC,Steam,Purchased,1,1,0
Worms Ultimate Mayhem,2,2011,22-12-2013,Release,Strategy,0,0,5,2,38,Both,PC,Steam,Purchased,1,1,0
League of Legends,1600,2009,21-10-2009,Beta,MOBA,0,0,80,0,0,Multiplayer,PC,Launcher,Free To Play,1,0,0
World of Warcraft,320,2004,20-12-2006,Release,MMORPG,0,0,70,0,0,Multiplayer,PC,Battle.net,Subcription,1,0,0
Hearthstone,120,2014,25-09-2014,Release,Card Game,0,0,40,0,0,Both,PC,Battle.net,Free to Play,1,0,0
Diablo III,160,2012,15-05-2012,Release,Dungeon Crawler,1,1,80,0,0,Both,PC,Battle.net,Purchased,1,0,1
Warcraft III,600,2002,15-08-2005,Release,Strategy,1,1,100,0,0,Both,PC,Battle.net,Purchased,0,0,0
